"id","titulo","descripcion","imagen"
2,INTERIOR,"Espaciosos y luminosos salones, bodega, pista de baile y terraza acristalada con preciosas vistas a la montaña. Así mismo disponemos de 6 habitaciones: Suite nupcial con jacuzzi + suite junior con jacuzzi + 4 habitaciones dobles.",static/images/lugares/Finca_0010_Interior.webp
3,EXTERIOR,"Fabulosos y amplios jardines. Contamos con piscina, zona de pérgolas, barra exterior y parking privado.",static/images/lugares/Finca_0009_Exterior.webp
4,COCINA PROPIA,"Contamos con cocina altamente equipada en las instalaciones, al servicio de nuestro experimentado chef y profesionales culinarios.",static/images/lugares/Cocina-Propia-1.webp
5,ZONA COCTEL,"Finca El Campo se encuentra en plena naturaleza, podrán",static/images/lugares/Finca_0007_Zona-Coctel.webp
6,CEREMONIA CIVIL,"Puede celebrar su ceremonia civil en nuestros exteriores, contamos con zona habilitada.",static/images/lugares/Finca_0006_Ceremonia-Civil.webp
8,TERRAZA,"Entre nuestros distintos espacios, podrán hacer uso de nuestra terraza acristalada..",static/images/lugares/Finca_0004_Terraza.webp
9,SALÓN INTERIOR,"Amplios salones interiores con capacidad para 300 comensales, con grandes ventanales y vistas a la naturaleza.",static/images/lugares/Finca_0003_Salon-Interior.webp
10,JARDINES,Finca privada con 8000 m de parcela y amplias zonas verdes.,static/images/lugares/Finca_0002_JARDINEs.webp
11,BODEGA,Antigua bodega para el deleite de los más exigentes. Utilizada para el reportaje fotográfico de nuestros novios.,static/images/lugares/Finca_0001_BODEGAS.webp
7,PISCINA, Ideal para disfrutar en familia o descansar en silencio bajo el cielo azul.,static/images/lugares/Finca_0005_Piscina.webp
12,ZONA DE BAILE,"El lugar perfecto para soltarse, moverse y disfrutar cada compás con alegría.",static/images/lugares/Finca_0000_Baile.webp
